geek_rate,title,num_votes,avg_rate,id
6.915,Heroscape Master Set: Swarm of the Marro,1980,7.63,27976
6.915,Squad Leader,2634,7.47,1035
6.914,Through the Desert,10462,7.05,503
6.914,Homesteaders,3017,7.32,26566
6.913,The Downfall of Pompeii,5839,7.14,13004
6.912,Panamax,2388,7.44,131287
6.911,Space Empires: 4X,1986,7.58,84419
6.910,Schotten Totten,3453,7.28,372
6.908,Tokaido,9569,7.08,123540
6.907,Star Wars: Destiny,1189,8.26,205359
6.907,Bridge,2538,7.47,2181
6.906,Medici,5535,7.14,46
6.906,Ca$h 'n Guns (Second Edition),6594,7.11,155362
6.899,Genoa,5412,7.16,1345
6.898,Polis: Fight for the Hegemony,1437,7.82,69779
6.897,Tash-Kalar: Arena of Legends,3743,7.26,146278
6.896,Spyrium,4486,7.17,137269
6.895,Broom Service,3124,7.30,172308
6.895,Reef Encounter,4572,7.17,12962
6.891,Shakespeare,2017,7.54,180511
6.891,ZÈRTZ,3206,7.30,528
6.886,Conflict of Heroes: Awakening the Bear! (second edition),1058,8.14,132028
6.884,Pandemic: Reign of Cthulhu,1966,7.61,192153
6.882,Jambo,7227,7.06,12002
6.880,Inis,1498,7.83,155821
6.880,Argent: The Consortium,1361,7.83,144797
6.879,Web of Power,3024,7.31,491
6.879,Thunderstone: Dragonspire,2396,7.41,85897
6.879,Elder Sign,14573,7.01,100423
6.879,Raptor,1904,7.55,177639
6.878,Maharaja: The Game of Palace Building in India,4438,7.17,9440
6.877,BANG! The Dice Game,9713,7.03,143741
6.876,Flick 'em Up!,3457,7.24,169124
6.875,Tragedy Looper,2474,7.41,148319
6.874,Stronghold,3083,7.28,45986
6.874,Core Worlds,3212,7.26,98351
6.872,Imhotep,2750,7.34,191862
6.869,Coal Baron,2803,7.33,143515
6.869,Coloretto,13464,6.97,5782
6.868,Legacy: The Testament of Duke de Crecy,2944,7.30,52461
6.868,Ascension: Storm of Souls,2719,7.37,108784
6.866,Carcassonne: The City,3755,7.21,12902
6.864,Star Wars: The Queen's Gambit,1846,7.56,939
6.863,San Marco,3770,7.19,1041
6.863,Blue Moon City,6681,7.06,21882
6.862,D-Day at Omaha Beach,945,8.23,29603
6.861,Santiago,4273,7.15,8125
6.861,Carcassonne: The Castle,6335,7.09,7717
6.861,Mare Nostrum: Empires,1368,7.84,174785
6.861,Louis XIV,4943,7.12,13642
6.860,Ascension: Deckbuilding Game,8494,7.05,69789
6.859,Saint Petersburg (second edition),1518,7.66,156943
6.858,Hawaii,3272,7.23,106217
6.858,Dungeons & Dragons: Wrath of Ashardalon Board Game,4339,7.22,66356
6.857,Diplomacy,9688,7.07,483
6.856,Summoner Wars: Alliances Master Set,862,8.37,158889
6.854,Port Royal,4641,7.14,156009
6.852,Brew Crafters,1503,7.67,139898
6.852,Thunder Alley,2087,7.45,108906
6.852,Thunderstone,8868,7.02,53953
6.851,Last Night on Earth: The Zombie Game,11845,7.04,29368
6.851,Britannia,3543,7.24,240
6.851,Wits & Wagers,9705,6.99,20100
6.850,Conflict of Heroes: Storms of Steel! – Kursk 1943,1342,7.80,38823
6.849,Between Two Cities,4357,7.14,168435
6.847,CO₂,2840,7.28,72225
6.846,Lords of Xidit,2707,7.29,156566
6.845,Blokus,16425,6.95,2453
6.838,Ascension: Return of the Fallen,2614,7.35,95064
6.836,Pandemic Iberia,892,8.29,198928
6.834,Antike,4270,7.14,19600
6.833,Netrunner,2089,7.46,1301
6.833,Cuba Libre,1235,7.81,111799
6.832,Hyperborea,2591,7.34,119788
6.831,La Città,4611,7.10,554
6.828,Finca,5497,7.06,40628
6.827,Raiders of the North Sea,1232,7.88,170042
6.827,Battles of Westeros,2328,7.39,67492
6.820,Tide of Iron,3416,7.26,22825
6.819,The Palaces of Carrara,2663,7.26,129948
6.819,Onirim (second edition),2365,7.36,156336
6.815,Empires: Age of Discovery,906,8.13,173442
6.814,Concept,7419,6.99,147151
6.814,Conan,1207,8.23,160010
6.812,Dream Factory,4379,7.08,904
6.812,Merchant of Venus (second edition),2800,7.25,131646
6.811,Attika,5902,7.03,8051
6.810,Red7,5899,7.02,161417
6.810,Space Hulk: Death Angel – The Card Game,9360,6.98,71721
6.809,Las Vegas,4679,7.07,117959
6.808,Wilderness War,1353,7.73,1822
6.808,Cacao,3664,7.14,171499
6.808,Mystic Vale,2286,7.37,194607
6.808,Skull,5116,7.05,92415
6.804,Princes of the Renaissance,1746,7.47,8045
6.803,Mr. Jack in New York,2292,7.34,55427
6.803,Tammany Hall,2473,7.29,30645
6.801,Scoville,2688,7.24,145659
6.801,BattleCON: War of Indines,1192,7.85,89409
6.800,Vinci,3680,7.14,60
6.796,Legendary Encounters: A Predator Deck Building Game,1313,7.73,174570
6.793,A Study in Emerald,2466,7.28,141517
6.793,Roll Through the Ages: The Bronze Age,9850,6.92,37380
6.793,"Warhammer 40,000: Conquest",1922,7.51,156776
6.791,Mexica,3222,7.16,2955
6.789,The Speicherstadt,4003,7.08,66505
6.788,Liar's Dice,9157,6.93,45
6.788,The Great Zimbabwe,1296,7.68,111341
6.788,Morels,4223,7.09,122298
6.787,History of the World,3923,7.13,224
6.786,Discoveries,2495,7.24,171669
6.786,Formula Dé,7028,6.99,173
6.783,Cribbage,5954,7.01,2398
6.781,Wiz-War (eighth edition),3624,7.14,104710
6.781,Rex: Final Days of an Empire,3128,7.17,104363
6.781,Forbidden Island,25575,6.86,65244
6.780,Container,3528,7.11,26990
6.778,Shadowrun: Crossfire,2291,7.33,135382
6.778,Ricochet Robots,6138,7.00,51
6.773,Runebound (Third Edition),1549,7.63,181530
6.772,Super Motherload,1365,7.61,162286
6.771,Level 7 [Omega Protocol],1407,7.61,137649
6.770,Battle Cry,3183,7.16,551
6.770,Pictomania,1833,7.39,98229
6.767,6 nimmt!,11160,6.89,432
6.765,Wir sind das Volk!,975,7.97,165401
6.764,Mr. Jack Pocket,4911,7.01,72287
6.762,Ninjato,2252,7.28,50768
6.761,Snow Tails,4738,7.00,38054
6.760,Tumblin-Dice,2842,7.16,16747
6.759,Vanuatu,2070,7.30,104020
6.756,Churchill,1164,7.77,132018
6.756,Terror in Meeple City,5553,6.97,97903
6.755,Zooloretto,11488,6.88,27588
6.752,1812: The Invasion of Canada,1718,7.41,94246
6.752,Dungeons & Dragons: Castle Ravenloft Board Game,6749,6.99,59946
6.751,China,3942,7.03,18100
6.750,Potion Explosion,2544,7.23,180974
6.750,Manila,4442,7.02,15817
6.749,Triumph & Tragedy,737,8.38,130960
6.748,Ultimate Werewolf: Ultimate Edition,2947,7.17,38159
6.745,Catacombs,2724,7.18,57390
6.744,Mahjong,4898,7.03,2093
6.743,HeroQuest,8011,7.01,699
6.741,The Rivals for Catan,3509,7.10,66056
6.741,Planet Steam,2117,7.28,23094
6.740,Domaine,3829,7.05,5737
6.738,Metropolys,3548,7.04,25568
6.734,Fauna,3039,7.11,35497
6.732,Zombicide Season 3: Rue Morgue,1209,7.79,161866
6.731,Manoeuvre,1998,7.30,17396
6.725,Space Hulk (fourth edition),939,8.09,165838
6.723,Lanterns: The Harvest Festival,3710,7.06,160851
6.723,Loopin' Louie,6488,6.91,327
6.722,Caylus Magna Carta,4357,6.98,27364
6.722,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,1480,7.52,151007
6.721,Keythedral,2778,7.10,4099
6.720,Yggdrasil,3034,7.10,71671
6.720,Can't Stop,8852,6.85,41
6.718,The Castles of Burgundy: The Card Game,1945,7.30,191977
6.717,Peloponnes,2243,7.18,42910
6.715,Primordial Soup,4205,6.98,124
6.715,Valley of the Kings,2389,7.17,150999
