geek_rate,title,num_votes,avg_rate,id
6.804,Merchant of Venus (second edition),2911,7.24,131646
6.803,Tide of Iron,3456,7.25,22825
6.802,Churchill,1311,7.78,132018
6.801,Dream Factory,4440,7.08,904
6.800,Attika,5957,7.03,8051
6.800,Wilderness War,1389,7.74,1822
6.799,Princes of the Renaissance,1809,7.47,8045
6.798,Tammany Hall,2572,7.29,30645
6.797,Smash Up: Monster Smash,1977,7.47,160018
6.797,First Class,1388,7.70,206941
6.796,Smash Up: Pretty Pretty Smash Up,1996,7.48,168917
6.788,Roll Through the Ages: The Bronze Age,9991,6.91,37380
6.786,A Study in Emerald,2535,7.27,141517
6.786,Discoveries,2718,7.23,171669
6.785,Liar's Dice,9455,6.93,45
6.785,Mr. Jack in New York,2362,7.32,55427
6.785,Legendary Encounters: A Predator Deck Building Game,1442,7.68,174570
6.784,Vinci,3717,7.13,60
6.783,Morels,4482,7.09,122298
6.780,Formula Dé,7087,6.99,173
6.780,Cribbage,6151,7.01,2398
6.778,"Warhammer 40,000: Conquest",2048,7.48,156776
6.777,The Speicherstadt,4081,7.07,66505
6.776,Wir sind das Volk!,1060,7.94,165401
6.776,History of the World,3971,7.13,224
6.775,Container,3569,7.11,26990
6.775,Forbidden Island,27072,6.86,65244
6.771,Ricochet Robots,6307,6.99,51
6.770,The Castles of Burgundy: The Card Game,2469,7.28,191977
6.770,FUSE,2693,7.24,171273
6.770,Wiz-War (eighth edition),3749,7.13,104710
6.769,Rex: Final Days of an Empire,3247,7.15,104363
6.768,Shadowrun: Crossfire,2433,7.31,135382
6.766,Pictomania,1953,7.38,98229
6.764,6 nimmt!,11792,6.89,432
6.761,Mr. Jack Pocket,5183,7.01,72287
6.760,Tumblin-Dice,2952,7.17,16747
6.758,Battle Cry,3202,7.17,551
6.757,Snow Tails,4862,7.00,38054
6.755,HeroQuest,8259,7.03,699
6.754,The Oracle of Delphi,1672,7.46,193558
6.752,Zooloretto,11745,6.88,27588
6.751,Ninjato,2289,7.28,50768
6.750,Lanterns: The Harvest Festival,4477,7.06,160851
6.747,Level 7 [Omega Protocol],1463,7.59,137649
6.747,Smash Up,16121,6.89,122522
6.746,Adrenaline,1941,7.38,202408
6.744,Dungeons & Dragons: Castle Ravenloft Board Game,6927,6.99,59946
6.743,Zombicide Season 3: Rue Morgue,1383,7.75,161866
6.741,Telestrations: 12 Player Party Pack,1069,7.85,153016
6.741,Terror in Meeple City,5764,6.96,97903
6.741,China,3975,7.03,18100
6.740,Manila,4553,7.02,15817
6.739,Vanuatu,2117,7.29,104020
6.739,1812: The Invasion of Canada,1769,7.40,94246
6.734,Mahjong,5009,7.03,2093
6.732,Ultimate Werewolf: Ultimate Edition,3034,7.16,38159
6.729,Metropolys,3593,7.04,25568
6.728,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,1614,7.51,151007
6.727,The Rivals for Catan,3715,7.09,66056
6.725,Catacombs,2737,7.17,57390
6.725,Planet Steam,2186,7.27,23094
6.725,Fauna,3125,7.10,35497
6.724,Space Hulk (fourth edition),1021,8.06,165838
6.723,Domaine,3869,7.04,5737
6.720,Can't Stop,9157,6.86,41
6.716,Valley of the Kings,2616,7.16,150999
6.716,Manoeuvre,2016,7.30,17396
6.715,Eight-Minute Empire: Legends,2966,7.11,142326
6.711,Signorie,1355,7.57,177678
6.710,Rhino Hero,3438,7.06,91514
6.709,Peloponnes,2294,7.18,42910
6.709,Black Fleet,3003,7.11,157403
6.708,The Others,1447,7.71,172047
6.707,Deep Sea Adventure,2667,7.15,169654
6.706,Caylus Magna Carta,4414,6.97,27364
6.706,Yggdrasil,3097,7.09,71671
6.705,Keythedral,2798,7.10,4099
6.705,Incan Gold,7876,6.86,37759
6.704,Loopin' Louie,6644,6.89,327
6.703,Primordial Soup,4244,6.98,124
6.700,No Retreat! The Russian Front,1042,7.83,68264
6.699,Witch's Brew,3308,7.05,34084
6.699,Celestia,2902,7.13,175117
6.698,Warhammer Quest,2003,7.41,1634
6.696,The Networks,1629,7.45,72321
6.693,Monikers,1029,7.81,156546
6.692,Loony Quest,2667,7.14,136991
6.692,Steam Park,4067,6.99,121410
6.691,Haggis,3265,7.03,37628
